bsb,oai_identifier,datestamp,title,description,publisher,date,language,type,identifier,contributor,creator,subject
bsb11355810,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991009706799707356-59449,2024-07-02,Journal des économistes : revue bimensuelle de la science économique et de la statistique / 47. 1877 = 36 = Année 12,"Société d'Economie Politique | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 77 o,3-47",Paris,1877,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11355810-4,,,
bsb11576963,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV014122445-5049,2025-01-25,Handwörterbuch der Staatswissenschaften / 6 : Statistik - Zwischenhandel,"hrsg. von J. Conrad ... | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 64 x-6",Jena : Fischer,1894,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11576963-3,"Conrad, Johannes | Elster, Ludwig | Weber, Adolf",,
bsb10227421,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV013602839-13197,2021-11-07,"Jürgen Elert Krusens, ehemaligen verordneten Lehrers an der Nicolai Kirchenschule in Hamburg Allgemeiner und besonders Hamburgischer Contorist / 1 : ... Theil. welcher von den Währungen, Münzen, Gewigten, Maassen, Wechsel-Arten und Usanzen der vornehmsten in und ausser Europa gelegenen Städte und Länder, nicht nur eine umständliche Nachricht ertheilet; sondern auch solche beschriebene Münz-Sorten, Gewigte und Maassen, zuvörderst gegen die, so zu Hamburg, hiernächst aber, in angegebenen Tabellen, auch gegen die, so an andern Orten gebräuchlich sind, genau vergleichet","Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Merc. 53 d-1",Hamburg : Erben des Verf.,1782,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10227421-0,,"Kruse, Jürgen Elert",
bsb10227707,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV020487336-24407,2021-11-05,Die deutsche Handels- und Zollverfassung und das Freihafen-System : mit besonderer Rücksicht auf Hamburg ; nebst einigen statistischen Uebersichten des hamburgischen Schiffahrts- und Handelsverkehrs,"Angeb.: Neue Verfassung': ... des Hauses Seefahrt ... Bremen (1841). - In Fraktur | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Merc. 135,25","Hamburg : Perthes, Besser & Maucke",1848,und,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10227707-7,,"Soetbeer, Adolf",
bsb10358612,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV001650827-31136,2021-11-09,"Geschlechts-Geschichte des Hochadelichen Hauses von Campe auf Isenbüttel und Wettmarshagen [et]c. : nebst dazu gehörigen Stammtafeln, Wapen, Siegeln, und andern grösten Theils noch ungedruckten Urkunden und Nachrichten","zusammen getragen von J.H. Steffens Rector der Zell. Schule | Der im Inhaltsverzeichnis angekündigte Abschnitt III des zweiten Teils ist als Abschnitt I des dritten Teils und der angekündigte Abschnitt I des dritten Teils ist als Anhang gedruckt | Die Illustration ist eine Kupferstichtafel. Die gefalteten Blätter enthalten die Stammtafeln des Geschlechts von Campen auf Isenbüttel und des Geschlechts von Bodendick | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Geneal. 76 m",Zelle : gedruckt mit Schulzischen Schriften,1783.,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10358612-5,"Schulze, Johann Dietrich","Steffens, Johann Heinrich",
bsb10388385,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991009705859707356-23257,2024-07-02,Journal des économistes : revue bimensuelle de la science économique et de la statistique / 9. 1856 = 15 = Année 3,"Société d'Economie Politique | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 77 o,2-9",Paris,1856,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388385-7,,,
bsb10388391,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991009706179707356-33179,2024-07-03,Journal des économistes : revue bimensuelle de la science économique et de la statistique / 15. 1857 = 16 = Année 4,"Société d'Economie Politique | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 77 o,2-15",Paris,1857,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388391-6,,,
bsb10388767,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV020365312-17901,2021-11-05,Moneta i věs v Rossii do konca XVIII stolětija : Izslědovanie D. J. Prozorovskago. S tabliceju risunkov,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 429 w",Sanktpeterburg : Tip. i litograf. A. Tranšelja,1865,rus,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388767-7,,"Prozorovskij, Dmitrij Ivanovič",Geschichte 1600-1799 | Geld | Münzgewicht | Russland
bsb10388945,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991005968399707356-39926,2024-07-23,Annales des travaux des sociétés de statistique établies en France et à l'étranger / 6. 1830,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 607 o-1/18",Paris,1830,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388945-4,Société Française de Statistique Universelle,,
bsb10389044,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV013891574-27571,2021-11-07,Le vrai livre du peuple ou le riche et le pauvre : histoire et tableau des institutions de bienfaisance et d'instruction primaire de la ville de Grenoble,"par Frédéric Taulier | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 624 a",Grenoble : Maisonville [u.a.],1860,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10389044-8,,"Taulier, Marc Joseph Frédéric","Charities, France | Education, Primary, France | Public welfare, France | Frankreich"
bsb11182629,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001024279707356-6643,2024-07-03,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 23. 1874,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-23",Jena : Mauke,1874,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11182629-2,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb10619970,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001023809707356-48548,2024-07-03,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 15. 1870,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-15",Jena : Mauke,1870,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10619970-5,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb10685398,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV001662839-49285,2021-11-09,De numis orientalibus in numophylario Gothano asservatis commentatio prima : Numos chalifarum et dynastiarum cuficos exhibens ; Subiuncta est tabula lapide,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Num.rec. 92 f",Gotha : Glaeser,1826,und,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10685398-4,,"Möller, Johann H.",
bsb11034266,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991022398809707356-21266,2024-07-23,Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1851,"zsgest. von dem Central-Bureau des Zoll-Vereins nach den amtlichen Mittheilungen der Zollvereins-Staaten | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Merc. 701-1848/60",Berlin : Reimer,1851,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11034266-2,Deutscher Zollverein,,
bsb11182628,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001024239707356-6199,2024-07-02,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 22. 1874,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-22",Jena : Mauke,1874,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11182628-2,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb11507474,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991021147419707356-4539,2024-07-03,Allgemeine Verlosungs-Tabelle : Gratisbeilage zum Bayerischen Börsen- und Handelsblatt in Nürnberg / 1895,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Merc. 109 e-1895",Nürnberg : Bayerisches Börsen- und Handelsblatt,1895,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11507474-1,,,
bsb10624130,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991042444999707356-63005,2024-07-01,"Bremer Handelsblatt : Wochenschrift für Handel, Volkswirtschaft und Statistik / 1870","Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 2 Merc. 4 m-1870",(Bremen : Schünemann),1870,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10624130-9,,,
bsb10931978,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV012095179-14260,2022-07-07,Adpendicula Altera Ad Nvmismata Græca Popvlorvm Et Vrbivm : A Jacobo Gesnero Tabulis Aeneis Repraesentata,"Autore Josepho Khell ... | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Num.ant. 72-2#Beibd.1",Vindobonae : Trattner,1764,lat,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10931978-6,"Trattner, Johann Thomas von","Khell von Khellburg, Josef","Numismatics, Greek"
bsb11332206,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001024529707356-35318,2024-07-02,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 27. 1876,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-27",Jena : Dufft,1876,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11332206-5,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb11517114,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV020202750-49574,2023-11-29,Schlesiens Münzen und Münzwesen vor dem Jahre 1220 : Mit 2 Tafeln Abbildungen,"von F. Friedensburg | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Num.rec. 39 r | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Num.rec. 39 r",Berlin : Lehmann,1886,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11517114-0 | http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00075441-1,,"Friedensburg, Ferdinand",
bsb10388350,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001022959707356-20506,2024-07-03,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 1. 1863,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-1",Jena : Mauke,1863,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388350-4,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb10388358,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001023489707356-59538,2024-07-02,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 9. 1867,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-9",Jena : Mauke,1867,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388358-7,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb10388363,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001023669707356-6688,2024-07-01,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 13. 1869,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-13",Jena : Mauke,1869,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388363-6,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb10388389,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991009706089707356-18281,2024-07-03,Journal des économistes : revue bimensuelle de la science économique et de la statistique / 13. 1857 = 16 = Année 4,"Société d'Economie Politique | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 77 o,2-13",Paris,1857,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388389-3,,,
bsb10388396,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991009706429707356-53608,2024-07-02,Journal des économistes : revue bimensuelle de la science économique et de la statistique / 20. 1858 = 17 = Année 5,"Société d'Economie Politique | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 77 o,2-20",Paris,1858,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388396-3,,,
bsb10684827,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV001478438-28170,2021-11-06,Schreiben an Fried. v. Berberich die Hof-Geißtmarische Münze betreffend : [Nebst 3 Kupfertafeln],"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Num.ant. 89#Beibd.1",Regensburg,1765,und,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10684827-6,,"Plato, Georg Gottlieb",
bsb10684909,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV020330943-42462,2021-11-05,Die Münzen des thracischen Königs Lysimachus : mit neun in Kupfer gestochenen Tafeln,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Num.ant. 108 n",Kopenhagen : Bianco Luno's Buchdruckerei,1858,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10684909-3,,"Müller, Ludvig",
bsb11039517,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001024179707356-35122,2024-07-02,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 21. 1873,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-21",Jena : Mauke,1873,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11039517-0,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb11314047,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001024329707356-10806,2024-07-02,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 24. 1875,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-24",Jena : Mauke,1875,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11314047-2,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb11576996,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001025469707356-35776,2024-07-02,"Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 42 = N.F., Bd. 8. 1884","Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-42",Stuttgart ; Jena [u.a.] : Fischer,1884,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11576996-1,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb10228067,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991003146289707356-49018,2024-07-02,Beiträge zur Statistik des Rigaschen Handels / 1866,"hrsg. im Auftr. d. Handelsstatistischen Section d. Rigaer Börsen-Comités | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- 4 Merc. 714 p-1866",Riga,1866,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10228067-7,,,
bsb10292056,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV020231471-26318,2021-11-05,"Die Handelsverhältnisse zwischen den Niederlanden und dem Zollvereine, aus statistischen Quellen","Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Merc. 273-8",Amsterdam : Joh. Müller,1844,und,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10292056-0,,,
bsb10388353,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001023169707356-41490,2024-07-02,Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 4. 1865,"Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-4",Jena : Mauke,1865,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388353-0,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb10388392,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991009706229707356-33611,2024-07-02,Journal des économistes : revue bimensuelle de la science économique et de la statistique / 16. 1857 = 16 = Année 4,"Société d'Economie Politique | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 77 o,2-16",Paris,1857,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388392-2,,,
bsb11576990,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991001025059707356-31489,2024-07-01,"Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 36 = N.F., Bd. 2. 1881","Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 76 id-36",Stuttgart ; Jena [u.a.] : Fischer,1881,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11576990-7,,,Jahrbücher für Nationalökonomie und Statistik | Geschichte 1963-2013 | Wirtschaftspolitik | Wirtschaftsindikator | Volkswirtschaftslehre | Wirtschaftstheorie
bsb10292466,oai:bdr.oai.bsb-muenchen.de:all:BDR-BV014553866-51750,2023-02-17,Beiträge zur Geschichte und Statistik der deutschen Messen,"von F. E. F. Philippi, Ober-Regierungs-Rathe | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Merc. 407 p",Frankfurt a.d.O. : Harnecker,1857,ger,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10292466-6,,"Philippi, F. E.","Markets, Germany | Messe | Geschichte | Handel | Deutschland | Germany, Fairs | Deutschland"
bsb10388386,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991009705909707356-11629,2024-07-02,Journal des économistes : revue bimensuelle de la science économique et de la statistique / 10. 1856 = 15 = Année 3,"Société d'Economie Politique | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 77 o,2-10",Paris,1856,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388386-2,,,
bsb10388398,oai:bdr.oai.bsb-muenchen.de:all:BDR-BSBe991009706519707356-53656,2024-07-02,Journal des économistes : revue bimensuelle de la science économique et de la statistique / 22. 1859 = 18 = Année 6,"Société d'Economie Politique | Volltext // Exemplar mit der Signatur: München, Bayerische Staatsbibliothek -- Cam. 77 o,2-22",Paris,1859,fre,Text,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10388398-4,,,
